frame,time_sec,attacking_team,possession_confidence,ball_x,ball_y,selected_defending_team,region_x,region_y,severity,opponent_access,progress_cm,category,eligible,uncertainty_state,goal_proximity,centrality,goal_dist_cm
265,8.83,0,current,6439.1,6518.9,1,6449.2,1654.2,0.2901,0.8906,-10.1,CURRENT_DANGEROUS_SPACE,True,resolved,0.2252,0.4726,6708.1
295,9.83,0,4s_majority,5408.6,6842.1,1,5811.6,2041.2,0.3817,0.9174,-403.0,CURRENT_DANGEROUS_SPACE,True,resolved,0.2641,0.5832,5991.9
570,19.0,0,4s_majority,3337.4,4198.8,1,3481.1,6262.0,0.3483,0.9331,-143.7,CURRENT_DANGEROUS_SPACE,True,resolved,0.3725,0.2108,4443.8
575,19.17,0,4s_majority,3246.6,4348.9,1,3449.2,6251.6,0.3554,0.9554,-202.6,CURRENT_DANGEROUS_SPACE,True,resolved,0.3751,0.2138,4412.3
590,19.67,0,4s_majority,3186.6,5251.2,1,3367.2,6418.1,0.3443,0.9414,-180.6,CURRENT_DANGEROUS_SPACE,True,resolved,0.3715,0.1663,4455.7
990,33.0,1,4s_majority,7416.2,6997.4,0,7033.8,6114.6,0.3612,0.9564,-382.4,CURRENT_DANGEROUS_SPACE,True,resolved,0.2873,0.253,5612.4
1005,33.5,1,4s_majority,7765.6,6969.6,0,7279.4,6099.4,0.3428,0.9311,-486.2,CURRENT_DANGEROUS_SPACE,True,resolved,0.3019,0.2573,5389.0
1040,34.67,1,4s_majority,8370.6,6943.3,0,7945.9,6120.2,0.3579,0.9229,-424.8,CURRENT_DANGEROUS_SPACE,True,resolved,0.3421,0.2514,4827.1
1050,35.0,1,4s_majority,8521.7,6884.7,0,8456.8,5921.2,0.3392,0.9496,-64.9,CURRENT_DANGEROUS_SPACE,True,resolved,0.3853,0.3082,4291.4
1080,36.0,1,4s_majority,8994.4,6936.7,0,8903.2,5586.6,0.4078,0.9049,-91.2,CURRENT_DANGEROUS_SPACE,True,resolved,0.4361,0.4038,3734.1
1405,46.83,1,12s_majority,10876.8,3936.1,0,10537.7,5688.6,0.4316,0.812,-339.1,CURRENT_DANGEROUS_SPACE,True,resolved,0.5572,0.3747,2632.1
1410,47.0,1,12s_majority,11162.5,3594.3,0,10752.1,3315.4,0.2633,0.7734,-410.4,CURRENT_DANGEROUS_SPACE,True,resolved,0.7555,0.9472,1261.5
1415,47.17,1,12s_majority,11181.6,3460.3,0,10741.9,5886.4,0.4076,0.7332,-439.7,CURRENT_DANGEROUS_SPACE,True,resolved,0.5491,0.3182,2697.7
1420,47.33,1,12s_majority,11203.6,3357.7,0,10733.6,3475.0,0.1955,0.8332,-470.0,CURRENT_DANGEROUS_SPACE,True,resolved,0.7547,0.9929,1266.6
1490,49.67,1,4s_majority,9891.3,5489.2,0,9458.5,5993.4,0.4396,0.7807,-432.8,CURRENT_DANGEROUS_SPACE,True,resolved,0.4533,0.2876,3560.4
1505,50.17,1,4s_majority,11522.3,6156.3,0,11060.2,5935.8,0.4539,0.7383,-462.1,CURRENT_DANGEROUS_SPACE,True,resolved,0.5598,0.3041,2610.8
1795,59.83,1,4s_majority,7703.7,2943.2,0,7679.1,1360.2,0.3959,0.9286,-24.6,CURRENT_DANGEROUS_SPACE,True,resolved,0.3425,0.3886,4821.7
1805,60.17,1,4s_majority,7749.8,2539.9,0,7669.5,1286.6,0.401,0.8814,-80.2,CURRENT_DANGEROUS_SPACE,True,resolved,0.3393,0.3676,4863.3
1815,60.5,1,4s_majority,7778.9,2192.8,0,7369.1,1068.0,0.3709,0.885,-409.8,CURRENT_DANGEROUS_SPACE,True,resolved,0.3127,0.3052,5230.6
2095,69.83,1,12s_majority,11237.7,5715.5,0,11109.9,1209.5,0.3371,0.7323,-127.8,CURRENT_DANGEROUS_SPACE,True,resolved,0.5792,0.3456,2457.3
2100,70.0,1,12s_majority,11230.7,5734.5,0,10924.3,848.4,0.2941,0.6296,-306.4,CURRENT_DANGEROUS_SPACE,True,resolved,0.5295,0.2424,2861.5
2110,70.33,1,12s_majority,11396.3,5745.6,0,11145.9,1019.7,0.2789,0.5055,-250.3,CURRENT_DANGEROUS_SPACE,True,resolved,0.5583,0.2914,2623.2
2125,70.83,1,12s_majority,11368.2,5746.2,0,11326.6,1468.7,0.3273,0.6357,-41.5,CURRENT_DANGEROUS_SPACE,True,resolved,0.6215,0.4196,2140.0
2130,71.0,1,12s_majority,11358.5,5751.3,0,11244.9,1213.9,0.3249,0.5641,-113.6,CURRENT_DANGEROUS_SPACE,True,resolved,0.5857,0.3468,2407.6
2155,71.83,1,30s_majority,11456.2,5760.3,0,11244.7,1675.3,0.3656,0.6074,-211.5,CURRENT_DANGEROUS_SPACE,True,resolved,0.6448,0.4787,1974.8
2175,72.5,1,30s_majority,11373.8,5728.5,0,11359.0,1222.5,0.3222,0.5689,-14.9,CURRENT_DANGEROUS_SPACE,True,resolved,0.5911,0.3493,2365.9
2180,72.67,1,30s_majority,11378.2,5731.4,0,11284.7,1253.1,0.2475,0.4626,-93.5,CURRENT_DANGEROUS_SPACE,True,resolved,0.5922,0.358,2358.0
2190,73.0,1,30s_majority,11370.8,5729.4,0,11243.5,1115.4,0.3189,0.6103,-127.3,CURRENT_DANGEROUS_SPACE,True,resolved,0.5735,0.3187,2501.7
2195,73.17,1,30s_majority,11370.4,5727.3,0,11258.6,1122.4,0.3345,0.5856,-111.8,CURRENT_DANGEROUS_SPACE,True,resolved,0.575,0.3207,2490.5
2200,73.33,1,30s_majority,11346.8,5732.2,0,11226.2,1142.6,0.3117,0.6268,-120.6,CURRENT_DANGEROUS_SPACE,True,resolved,0.5762,0.3264,2481.2
2205,73.5,1,30s_majority,11354.0,5723.3,0,11160.9,1086.3,0.3138,0.7693,-193.1,CURRENT_DANGEROUS_SPACE,True,resolved,0.5667,0.3104,2555.4
2210,73.67,1,30s_majority,11343.0,5729.2,0,11162.8,979.1,0.2926,0.515,-180.3,CURRENT_DANGEROUS_SPACE,True,resolved,0.5542,0.2797,2656.3
2215,73.83,1,30s_majority,11348.4,5722.7,0,11121.4,1147.1,0.3315,0.6557,-227.1,CURRENT_DANGEROUS_SPACE,True,resolved,0.5723,0.3277,2511.6
2225,74.17,1,30s_majority,11362.6,5721.8,0,10935.0,1019.7,0.3047,0.5294,-427.6,CURRENT_DANGEROUS_SPACE,True,resolved,0.5489,0.2913,2699.3
3400,113.33,1,4s_majority,4537.7,5875.1,0,4171.1,4183.5,0.3996,0.869,-366.5,CURRENT_DANGEROUS_SPACE,True,resolved,0.1744,0.8047,7858.7
3410,113.67,1,4s_majority,4271.3,5525.2,0,3929.7,4874.2,0.3505,0.9362,-341.6,CURRENT_DANGEROUS_SPACE,True,resolved,0.1622,0.6074,8186.5
3425,114.17,1,4s_majority,3876.7,5124.0,0,3612.0,4826.1,0.3717,0.9157,-264.7,CURRENT_DANGEROUS_SPACE,True,resolved,0.1515,0.6211,8492.2
