scenario,frame,time_sec,state,rank,defending_team,attacking_team,region_x,region_y,severity,opponent_control,progress_cm,dist_from_ball_cm,fixer,target_x,target_y,benefit,new_gap_penalty,fixer_conflict,reason
checkpoint_start,495,16.5,resolved,1,B,A,2073.1,1801.0,0.3628,0.953,1404.7,2992.5,16,2806.6,3910.4,-0.05937,0.00047,False,
checkpoint_start,495,16.5,resolved,2,B,A,3658.6,5466.4,0.182,0.6554,-180.7,1039.0,18,3717.5,4967.4,-0.04609,0.0,False,
checkpoint_5s,590,19.67,resolved,1,B,A,3367.2,6418.1,0.3443,0.9414,-180.6,1180.8,6,2609.0,5241.5,-0.05653,0.0,False,
checkpoint_5s,590,19.67,resolved,2,B,A,3029.7,1658.8,0.2981,0.6211,156.9,3595.9,13,2808.3,2998.4,-0.01636,0.0,False,
checkpoint_5s,590,19.67,resolved,3,B,A,2206.8,4570.4,0.1686,0.5135,979.8,1193.1,42,2799.4,4492.6,-0.00333,0.0,False,
checkpoint_10s,730,24.33,resolved,1,A,B,2963.7,2151.4,0.3591,0.7342,1784.1,2229.5,49,2312.0,3706.5,-0.00333,0.0,False,
checkpoint_10s,730,24.33,resolved,2,A,B,1421.0,5703.2,0.3266,0.7489,241.4,2227.9,14,2286.8,4462.0,-0.00333,0.0,False,
checkpoint_15s,880,29.33,resolved,1,A,B,4676.9,744.8,0.3176,0.7785,352.0,1706.3,8,5361.3,1479.1,-0.05733,0.0,False,
checkpoint_15s,880,29.33,resolved,2,A,B,4478.1,6372.8,0.2718,0.9546,153.1,3961.4,15,4490.0,5135.7,-0.00333,0.0,False,
checkpoint_15s,880,29.33,resolved,3,A,B,4380.0,3241.8,0.1421,0.701,55.0,829.3,27,4196.9,3716.3,-0.00333,0.0,False,
checkpoint_end_strong_recommendation,1040,34.67,resolved,1,A,B,7945.9,6120.2,0.3579,0.9229,-424.8,926.3,15,7076.2,4607.9,-0.00333,0.0,False,
checkpoint_end_strong_recommendation,1040,34.67,resolved,2,A,B,8730.8,576.1,0.2482,0.8164,360.1,6377.4,8,9061.2,1562.8,-0.00333,0.0,False,
one_valid_region,898,29.93,resolved,1,A,B,4654.3,2676.5,0.5582,0.9491,-110.0,197.3,30,5614.0,3004.9,-0.03806,0.0,False,
two_valid_regions_team_B,494,16.47,resolved,1,B,A,2066.9,1800.9,0.372,0.9538,1391.7,2984.9,16,2817.4,3920.2,-0.05823,0.0,False,
two_valid_regions_team_B,494,16.47,resolved,2,B,A,3665.2,5470.0,0.1814,0.6616,-206.5,1049.0,18,3726.4,4959.4,-0.0461,0.0,False,
three_valid_regions,542,18.07,resolved,1,B,A,4018.4,1990.8,0.4066,0.6779,-73.5,2174.9,12,4421.3,2849.6,-0.02802,0.0,False,
three_valid_regions,542,18.07,resolved,2,B,A,3584.0,6288.6,0.3664,0.9693,360.9,2154.5,6,2717.2,5172.5,-0.00333,0.0,False,
three_valid_regions,542,18.07,resolved,3,B,A,2344.5,4482.0,0.1326,0.5799,1600.4,1631.6,16,2761.0,4142.3,-0.00333,0.0,False,
same_player_fixer_conflict,604,20.13,resolved,1,B,A,3358.1,6436.9,0.2702,0.9527,2552.4,2593.8,42,2696.2,4565.8,-0.00333,0.0,False,
same_player_fixer_conflict,604,20.13,resolved,2,B,A,2112.3,4630.4,0.1382,0.6103,3798.2,4424.0,16,2540.6,3938.3,-0.00333,0.0,True,
team_A_defending,724,24.13,resolved,1,A,B,2967.7,2175.4,0.3597,0.8603,1353.1,2235.7,49,2401.9,3814.8,-0.00333,0.0,False,
team_A_defending,724,24.13,resolved,2,A,B,1487.3,5768.6,0.3353,0.6371,-127.3,1818.0,14,2401.4,4660.8,-0.00333,0.0,False,
uncertain_possession,452,15.07,possession/ball/attacking-direction unknown this frame,,,,,,,,,,,,,,,,
current_attack_eligibility_failure,442,14.73,no candidate satisfies current-attack eligibility,,,,,,,,,,,,,,,,
